narrative,product_5
"I have XXXX credit cards with Chase Bank. Neither were near their balances. I have been traveling and using the cards. On XX/XX/year> I received a notice that they cut my credit lines and cut them back to near their balances so now the cards appear to be nearly maxed out. I have no history of late payments. I had an auto loan with them that paid off a little early. I have no late pays on any of my credit accounts, but chase decided to cut my line to make me have XXXX maxed out cards. I contacted them via messenger because it was late at night when I received the notice. I was told I'd receive a response with in XXXX business days. on XXXX I received another letter stating they'd stop trying to contact me regarding my concern, but I could call if I want to discuss. No one has contacted me about the concern that they are now going to damage my credit score by reducing my lines and having XXXX maxed out cards -- because of them, not me. I find it very concerning that no one reached out and now "" they're going to stop '' trying when they didn't start. This is absolutely unacceptable and harmful. I have had a relationship with them for nearly XXXX  years and not a single late pay. This was unwarranted and damaging to my financial situation.",Credit Card Services
"I have had a Collection from Portfolio Recovery Associates , LLC via XXXX XXXX  from retailer XXXX, on my account for the past few years. I have disputed the account numerous times with the company and credit bureau 's only to have the account come back as "" Verified '' every time. 

I have asked for proof that the account was opened by me, including the original application or account opening document, but it has never been provided. The company has only sent a copy of 3 billing statements which, of course, doesn't show that the account is mine, only that it exists. 

I asked XXXX how they verify the account and was told it is simply a matrix of "" personal information '' in my credit file that they compare against the personal information the collection agency is sharing, nothing more. There is no requirement to show proof of account ownership and no way to truly verify the account opening date if it is not already shown within my credit file. Therefore the entire account can not truly be verifiable and relies on a plethora of inaccuracies. 

I have disputed the account in the following manners : XX/XX/XXXX : XXXX XX/XX/XXXX : XXXX XX/XX/XXXX : XXXX XX/XX/XXXX : XXXX XX/XX/XXXX : XXXX XX/XX/XXXX : XXXX Portfolio Recovery Solutions / Associates, LLC has sent me some forms to fill out requiring a notarized statement and a police report for "" fraud '' cases. Although this may ultimately be fraud, I am unwilling to provide these forms until I have been shown the original signed document that was utilized to open the account. I haven't been provided the documentation I've been requesting within my disputes for years. I need to see the application document, the signed document, the agreement/terms and original date the account was opened as well as the last payment, if any. The burden of proof still upon the collection agency, but they are refusing to comply.",Debt Collection
"Attempted to open a basic savings/checking account at the Navy Federal branch at XXXX, Hawaii and they refused to open the account claiming I am a security risk. 

I had to leave the premises. 

My spouse did have an account open in the past and they again refused to GIVE us our money through an ATM or release the funds to close. 

I had to fly to the XXXX XXXX Navy Federal CU to close the account and receive money. 

I wish to pen an account again for convenience without discrimination. I believe my accounts might still be open as they wanted to use old acc't numbers.",Bank Accounts and Services
"I am reaching out to inform you that I have been a victim of identity theft. Please consider this communication as a formal dispute regarding the following accounts. I have contacted all the companies directly and followed the necessary steps to address this issue. I filed an identity theft report with the FTC and have informed all the companies involved. Now, I am disputing the information that should not even be appearing on my file. Please assist me in resolving this matter promptly. 

STATECU XXXX  and STATECU XXXX 

I am willing to give you one final opportunity to process my request regarding my identity theft. Failure to do so will leave me with no choice but to seek legal recourse in the courtroom, where you will be held responsible for the damage inflicted upon my reputation, credit, and emotional well-being as a result of this issue. It is highly likely that the significance of the material facts will become abundantly clear, and you will be required to compensate me for your negligence.",Credit Card Services
"I had. XXXX XXXXXXXX XXXX  times and lost my job and income XXXX and XXXX in XXXX I had a XXXX XXXX XXXX XXXX which led me to apply for a hardship. Instead of receiving XXXX XXXX relief XXXX came after me and sold my loan during a hardship assistance approval and all payments made to the XXXX Illinois were not applied during my hardship when I had the original account. XXXX and Mr. Cooper located in XXXX XXXX mortgage was given notice a bankruptcy would be in effect starting XX/XX/XXXX and my first payment will be a month from this date in XX/XX/XXXX. The evidence I would like to submit for the hearing is the following. 
Payment made by money orders XX/XX/XXXX first paycheck was cashed at XXXX XXXX my last XXXX ssn XXXX mailed in. 
XX/XX/XXXX payment of XXXX was paid confirmation number XXXX This payment was intended for XXXX XXXX XXXX XXXX XXXX was made over the phone confirmation number XXXX XXXX and XX/XX/XXXX payment was combined into XXXX payment on XX/XX/XXXX XXXX/XXXX/XXXX XXXX dollars confirmation number XXXX. 
XXXX payment was made in XXXX payments, XX/XX/XXXX XXXX dollars and confirmation number XXXX XX/XX/XXXX for XXXX dollars confirmation number XXXX. The XXXX payments total XXXX. I was told when I called by a representative that my initial payment of XXXX would be enough because I have XXXX in my Miscellaneous account sitting there and can be applied if my lawyer let XXXX know since he is in charge of my bankruptcy but it was not. I also have a Holding account with funds sitting in the account in the amount of XXXX dollars and ( Holding Account ) as if XX/XX/XXXX On XX/XX/XXXX I was told that I needed to make a payment of XXXX extra for XXXX 6 months to catch up so I made a payment on XX/XX/XXXX Over the phone in the amount of XXXX confirmation number XXXX This concludes my payments Now I am facing loosing my home and they have added with my bankruptcy lawyer XXXX additional payments in 8 months to my loan ending after XXXX XXXX in the amount of XXXX plus XXXX as a single mom and I dont know how they came up with this because I paid them. 
XXXX XXXX XXXX money orders XXXX mailed in not Over the phone a picture of the receipt can be found as an additional attachment there is no confirmation number but it was recorded as received and applied to a different loan from a sister company XXXX in XXXX  and with a totally different loan number. This was my previous account before XXXX Illinois sold my mortgage to XXXX Mr. Cooper in Texas. I filed Bankruptcy XXXX XXXX repayment plan with payment going to my lawyer each month of XXXX separate from my mortgage. Please help me XXXX Sent from XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX wrote :",Loans
"On XX/XX/year>, unauthorized transactions totaling {$41000.00} and {$3600.00} were posted to my PenFed Credit Union account. I reported these transactions immediately. PenFed conducted an investigation and, in letters dated XX/XX/year>, and XX/XX/year>, confirmed that I was not liable for these transactions. They stated that credits for the unauthorized transactions were issued on XX/XX/year>, and that the fraud case was closed. 

Despite these confirmations, I have been unable to access my account online, and the credited funds remain inaccessible. Over the past few months, I have made numerous attempts to resolve this issue by contacting PenFeds customer service. Unfortunately, my experiences have been frustrating and unproductive : Representatives often transferred me blindly to other departments without providing any solutions. 
I received conflicting information from different representatives, including XXXX, who were unable to provide clear answers or resolve my issues. 
Despite my repeated requests, I still do not have access to my account or the credited funds. 

On XX/XX/year>, I spoke with PenFed again, and there has been no resolution. Over this period, I have interacted with nine different agents from various departments, including the security team, yet no one has taken responsibility for resolving my issue. Everyone at the bank continues to point fingers, and no one provides a clear solution. 

I am requesting the office of the president at PenFed to intervene, provide a clear explanation of what is happening, and ensure that I receive the funds I am due immediately. 

This ongoing issue has caused significant inconvenience and stress. I am seeking immediate restoration of full access to my online account and assurance that the funds credited on XX/XX/year>, are accessible without further delay. 

Thank you for your assistance in resolving this matter.",Bank Accounts and Services
"App updated and no longer shows balance after each individual transaction. Only shows current available balance and transaction history. On Saturday i went to XXXX and had XXXX available balance in my one account and XXXX in my spot me. After spending {$88.00} my account dropped to {$39.00}. When i call chime to explain money is missing they admit my transactions vs deposits dont line up and i am missing {$88.00} because my balance should have been XXXX instead of {$39.00}. They stated there is no transaction history of where this money went and they would escalate it. I still have had no response, no help, they hang up on me. And i have entire conversation that originally took place where they admit the money is just missing audio recorded on my phone and have proof.",Bank Accounts and Services
"Initiated transfer with my primary brokerage account ( XXXX ), to transfer money in from the Robinhood brokerage account. There was no disclosure that fees valuing 10 % of the total account value would be extracted from my XXXX account, by Robinhood. No disclosure given, no opportunity to opt out and perform the transfer manually myself. Attempted to follow up with Robinhood "" Customer Service '' to resolve issue. They only provide service by verbal interaction, nothing written and no paper trail at all ( the XXXX of any XXXX XXXX  ), and are only authorized to "" speak '' in "" English '' despite not knowing at all how to speak or understand basics of the English language at all. They repeatedly demand all sensitive identifying information ( PII ) and refuse to assist unless you pay the ransom. It's sabotage by Robinhood to make the entire process as painful as possible, to disincentivize support requests.",Bank Accounts and Services
"I filed a dispute to gain back funds that were deposited without my authorization by XXXX bank. I contacted bofa and requested that the funds be returned to me. I was mailed a fraud package from bofa and was told it would take 15 days to receive. I visited a local branch where the XXXX XXXX XXXX XXXX was helpful and printed the package and made a notary available for the swift return of the package to bofa. I was told that this could take up to 90 days to receive my refund as the cased needed to be researched. I explained that XXXX had confirmed they had the funds and bofa just needed to request them back. I have now been waiting close to 30 days for resolution and have been told by bofa that I must wait the XXXX. This is causing financial hardship in my life and I want it resolved immediately. 

Today I spoke to XXXX in Oklahoma 's escalation department and was told that I must wait the 90 days ( by law ). I asked him how that was an escalation and he informed me that his job was to confirm their receipt of my fraud package ( which was confirmed 3 times before ). When I asked to speak to a supervisor or someone who could actually escalate my claim, he refused to do so.",Credit Card Services
"Re : Fraudulent Withdraw Transactions I am demanding a return of funds to my checking account fraudulently withdrawn from my account via an ACH transaction without the approval and required documents for such withdrawals. This fraudulent transaction was made on XX/XX/2024, from my business checking account. 

I have filed claims with Wells Fargo via the phone notification system and received Claim No. XXXX. All pertinent information is detailed in the Claim. 

The entity withdrawing the claim has never been associated with our business nor set up as an ACH approved payee. The two withdrawals on XX/XX/2024 for {$5700.00} and {$3800.00} were represented on Wells Fargo Bank account activity report as follows : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX {$5700.00} XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX XXXX XXXXXXXX XXXX XXXXXXXX {$3800.00}",Bank Accounts and Services
